nombre,email,ciudad,fecha_registro,password
Amanda Robinson,amanda@ejemplo.com,Medellín,2025-08-11,1234
Alfredo Casero,alfredo@ejemplo.com,Santa Marta,2025-08-12,1235
Arturo Mardalis,arturo@ejemplo.com,Buenos Aires,2025-08-13,1236
Amancio Alcorta,amancio@ejemplo.com,Santa Marta,2025-08-14,1237
Brenda Asnicar,brenda@ejemplo.com,Santa Marta,2025-08-15,1238
Berenice Grandin,brere@ejemplo.com,Santa Marta,2025-08-16,1239
Carla Peterson,carla@ejemplo.com,Buenos Aires,2025-08-17,1240
Carlos acosta,charly@ejemplo.com,Santa Marta,2025-08-18,1241
Cesar Verde,cesar@ejemplo.com,Santa Marta,2025-08-19,1242
Diana Mondino,diana@ejemplo.com,Santa Marta,2025-08-20,1243
